,neutral,toxic
1312,"У него совести и не было никогда. Сложно потерять то, что не имеешь",False
1313,"судить их надо, что делают за деньги",False
1314,пыль в глаза вруны гнать таких из страны,True
1315,"Фомин,ты здесь умничаешь....неужели ты думаешь,что уже не попробовали через друзей,знакомых?",False
1316,"А как же посмотреть звонок, если нет прямого эфира? Извините. Я не понял",False
1317,С таким лицом только отведывать явсив заморских,True
1318,правильно!!! незачем таким людям по улицам ходить!!!,True
1319,"Верните Крым Украине, недостойные существа!",True
1320,"Выгнать,чтобы не появлялась в стране никогда",False
1321,"Неприятные, все деньги хотят загребсти. Дураки несправедливые.  А люди страдают",True
1322,Выслать его из страны и никогда не пускать!!!,True
1323,Теперь я точно не стану досматривать этот сериал!,False
1324,Вылезла вся гниль наружу,True
1325,Возможно им понравится,False
1326,и получился кот.,False
1327,"Зато у нас в России все за Путина, народ очень уважает своего президента.",False
1328,"Детей лечить не на что, наказывать за это надо",False
1329,"Как глупо ненавидеть по внешнему признаку. Слова не мужчины, а мальчика.",False
1330,Не верь никому. ешь первый,False
1331,а кто тебя сюда пригласил,False
1332,"да какой Кирилл патриарх. сами служители церкви его называют слугой сатаны, а в самом мягком варианте жулик в рясе.",True
1333,"Лидер? Чушь! Ушла к прибалтам! Чует кошка, чьё мясо съела",False
1334,"Наказывай их, предателей, батька, наказывай! Не давай страну разорить",False
1335,Больно светловат.,False
1336,Зачем матерей все время трогаешь?,False
1337,"Кто так пишет это нехороший человек, а девочке класс",False
1338,"Вы правда считаете, что кодер вашего софта на ПК и генно-кодер это один и тот же человек?",False
1339,У вас не хватает опыта на более взрослых женщин?,False
1340,Да тот ещё врун и кто его слушает одному богу известно,False
1341,с судьями и с var не футбол а фигня какая-то,False
1342,"А ну ка, поклонница Путина, похыавастайся своей пенсией! Не надоело просрочкой питаться, чтобы не умереть от голода?",True
1343,"Да и черт с ним! Пусть идёт, злость держать не надо, автор полюби себя, ты детям нужна, главное духом не падать!",False
1344,От ты и провокатор! Пасешся на чужих хлебах,False
1345,По себе не суди,False
1346,ты че ваще глупая? я про себя разве писала?,True
1347,Номер стримерши и её парня Андрея.,False
1348,шо больше показать нечего,False
1349,Как отталкивающе выглядят эти три господина.,False
1350,Не поверишь сколько ненормальных на планете,False
1351,Где их только набирают? И когда их начнут бить в подворотнях?,True
1352,Вот дураки! Кто это постит,True
1353,Если тебя посадить в тюрьму и заняться сексом- тоже изменишься?,True
1354,А где ты денег столько взяла?,False
1355,"Этот побогаче просто будет, ну и на лицо симпатичнее, а так ей все-равно с кем общаться",False
1356,"Свое лицо подставляешь, что бы денег получить. Смотри может не получиться",False
1357,подумайтам государственыекрупные заводы а у нас все разворовано путинистами и единоросами.что ты молчишь,False
1358,"Эти люди ничего не могут. Негодяи , верхушек нахватали а сами катры видели на картинке. Ух!",True
1359,сиди в укропам и не портите воздух. ваш сайт-друзи там и чирикай,True
1360,"Не голосуйте за них, всю страну распродали",False
1361,"Что это ты там делаешь, что у кота такой взгляд?",False
1362,"Это полководцы у нас такие , роту загубили",False
1363,"Ну ты же понимаешь, что у украинцев и денег то нет?",False
1364,Всем привет из российского крыма,False
1365,"Незнаю с кем идти, не с кем",False
1366,Ты больше не смотри на этого мужчину.,False
1367,"Что хватило? Что добавить? Жопой, что ли покрутила ?",True
1368,"ага,прямо таки наблюдатели это всё пропустили ...эк как  поправки не по нутру",False
1369,Богом данный для не красивого пения рот!,False
1370,"Должен получить срок 12 лет, он убил человека.",False
1371,"а у меня вот что есть, девочки на день рождения подарили мне",False
1372,Они совсем обнаглели,False
1373,"Тебя родители не научили родину любить, глупый ребенок",True
1374,Нерусские надоели уже а вы представляете что будет на каникулах,True
1375,"По телевизору прививают нам европейскую культуру, радуйтесь,что скоро прировняетесь к европе",False
1376,"Полный человек. грубо наверное, но для него в самый раз.",False
1377,"Коммунисты и либертарианцы братушки, а Светов проплаченный жулик.",True
1378,"Не люди, отпусти она будет жива, а если не нужна, не заводи, люблю собак, есть в доме собака",False
1379,Твоя заметка не подходит,False
1380,"Нашли того человека, что ее ударил?",False
1381,Люблю юбижать детей и стариков!!! Без этого любовь к России невозможна!!!,True
1382,Какую песню испортили...,False
1383,"тунев ,тебе не надоело говорить как попугай одно и тоже,включи голову, зачем ты нужен штатам",True
1384,Трое плохих людей,False
1385,"Скучаю по временам, когда подписчики Алекса Пыни не обвиняли его беспруфно в ностальгии по СССР и не засоряли интернет своими высказываниями",False
1386,вы вот говорите плохой плохой думаете нам плохим легко,False
1387,"Убирите эту женщину с сайта, достала когда она только вылезти с этого авто",True
1388,Девочки вам самим не стыдно ходить полуголыми? Тогда и не жалуйтесь что вас насилуют так вам и надо,True
1389,"дурак - это ты, если не понял что это договорняк и никаких неожидонастей.",True
1390,"интересно ,что он курит?отдай мой лям👎👎👎",False
1391,своих увидела и голосок прорезался?,False
1392,"Кто это придумал, неумный,хотя бы подумал,что пишет.",True
1393,"зачем бог дает таким людям облик человеческий, лучше бы сразу сотворил макакой .",True
1394,Не поверишь сколько таких на планете,False
1395,"Отпусти, она будет жива. А если не нужна - не заводи. Люблю собак, есть в доме собака.",False
1396,"Не евреи виноваты, а власть",True
1397,"Мм, страна нищая? Ну это враньё. Эти люди гордятся страной",False
1398,Укусит тело,False
1399,Какие не красивые три морды,True
1400,И это наша интеллигенция  и этот человек нам для  подражания?,False
1401,Её саму нужно лечить её же методами...,False
1402,зачем было убивать и так осталось мало зверя всё вырубили им жить негде,True
1403,"Виктор,говорить и взывать к этим людям бесполезно,лучше не отвечать. Этим людям плата идёт побуквенно.",False
1404,Мясо пожарят её отжарят жизнь продолжается,True
1405,Неприятно читать? Мы видим это каждый день,False
1406,Эти собаки могут напасть на ребенка и должны быть уничтожены,False
1407,"Таких людей надо отправлять в сибирь,что бы они сажали лес,хоть какая то польза будет.",True
1408,Зачем было убивать. И так осталось мало Зверя. Всё вырубили им жить негде,False
1409,"Не евреи виноваты , а люди во власти.",False
1410,Купились на западные деньги,False
1411,они совсем обалдели,False
1412,ты на путина наехал.,False
1413,Жители Украины слишком измучены войной и тарифами даже протестовать не будут,False
1414,Это сюрреализм... Сидят два неумных в помойной яме и друг друга угощают блинчиками оттуда... Обоим не скучно,True
1415,Позорит честь настоящих мужчин,False
1416,А какой уровень у тех кто тренды про украинцев создаёт?,False
1417,Там 10 миллионов населения и половина из них приезжие рабочие,False
1418,"по блату поступили , по блату закончили по блату устроились и управляют",False
1419,Что за конференция мам?,False
1420,"Банить за крики, вы поняли что сказали?",False
1421,Это им не стариков да студентов бить,False
1422,"Уничтожить их бы и всех остальных. Туда же и бывших и нынешних правителей, олигархов и торговцев запрещёнными",True
1423,"Пожалуйста, не говори так. Время покажет",False
1424,Кто даёт разрешение на вырубку - наказывать невзирая на ранг,False
1425,вы когда группу перестанете засорять?,False
1426,сертификат глупого человека настоящим подтверждается ты безоговорочно являешься натуральным стопроцентным подлинным бестолковым человеком подпись врача,True
1427,Вы купились на западные деньги,False
1428,По себе не надо судить.,False
1429,"Включай перфоратор, сверло на пятьдесят, потом в эту дыру кричи... Вставь в неё шланг и затопил их, ещё в неё стрелять можно, осколочным, лучше фугасным...",False
1430,"Это не мама оставила этого малыша,это просто ужасная женщина",True
1431,"ни раз доказано что собака умнее человека, а люди это скот конченый",True
1432,Хочу произвести семяизвержение на такие молочные железы,False
1433,Ты уже пошёл в атаку....твой взвод идёт следом?или ты в разведку вышел?,False
1434,"Мне интересно, а кто их эти штаммы обновил. Ктои в какой лаборатории постарался?",False
1435,только тебя там не хватало.,False
1436,ремня по одному месту,False
1437,Что тебе неприятно читать? А это мы каждый день видим.,False
1438,Ничего мы подождем он за Курск ещё ответит.за все ответит,False
1439,"Был плохим человеком, таким и остался",False
1440,"Украинская власть не держит обещаний, от неё стоит избавиться",True
1441,Я не пойму - модельер пошутил или поиздевался?,False
1442,Из за таких как ты безлимиты и убрали(правда теперь снова ввели).,False
1443,"Ага, они тоже плоские, как и земля и солнце и луна... , - взбесили сами знаете кого",False
1444,"Может хватит, Иуд светить?",False
1445,"Даа, страна нуждается в героях",False
1446,"Среди всех этих кандидатов, проехал только один человек.",False
1447,Кто это постит?,False
1448,Тоже так думаю. Не понимаю кто так пишет,False
1449,"Ерунду не говорите! все только воров охраняют? страна у нас еще существует, наверное благодаря только тебе!",False
1450,"ты, причудливая что-ли? ума нет😀",True
1451,сколько не адекватных людей на планете...,False
1452,Ты же с ним не занимался любовью не знаешь на что он способен,False
1453,Кто это? Его мнение важно?,False
1454,"Да не общаться с ней надо, а совокупляться",True
1455,"защитники власовские не забывайте, что увас есть тоже семьи.",False
1456,"Сериал хороший, других слов нет, глянь, лично мне прочно в душу въелся.",False
1457,Тебя не научили родину любить?,False
1458,Лопатой по голове хлопнуть!,True
1459,зачем этого клоуна сюда впихивают?,True
1460,вот это правильно. а не глупых людей из дома 2 показывать.,True
1461,Да это твоя земля благодаря нам а не арабских когломиратов где ты бы шуршал как веник,True
1462,"вы власовские не забывайте, что у вас есть тоже семьи.",False
1463,"У вас либо золото плохое, либо букеты из аленьких цветочков, добытых у чудовища",False
1464,"Только хотел спросить, что за завалы. Плохие в Рашке плотники",False
1465,"лол, классическое народ не тот .Корону с башки сними",True
1466,"их не выгонят, их просто убьют вакциной!!!",False
1467,Уже больше 10 лет смотрю 1 канал. Пусть эрнст засунет себе куда нибудь поглубже,True
1468,вёл себя плохо и стал в итоге плохим человеком!,False
1469,"Тебя муж бьёт,  наверное?",True
1470,"да мля, поимеют же люди добра!",False
1471,вижу вы русский язык не знаете. шлюха женского рода,True
1472,Таких как ты умников не трогаю,False
1473,на огород ее к верху попой а не перед камерой попой вертеть тампоны рекламировать.,True
1474,Родителям своим скажи это!,False
1475,чикатило невинный агнец по сравнению с николашкой кровавым! а товарищ сталин- спаситель россии!,False
1476,"Не хороший человек, он ещё ни раз сядет пьяный за руль, и все ему можно",False
1477,я сама дам телефон кто захочет,False
1478,"И что, никто его не поставит на место?",False
1479,Точно я не верил когда машину покупал окажется 5 раз,False
1480,тебя не научили родину любить,False
1481,Отправь этому мужчине яйца,False
1482,"ну и конец вам ребята, ждите гостей!!!",False
1483,"кто не курит и не пьет, очень скучный",False
1484,"Достал уже, побирается столько лет",True
1485,"Он уже устал флудить, наверное модератор его друг?",False
1486,"В троем выехать и не разобрать ис-4, вот это неумезами нужно быть.",False
1487,"былбы москвичь,я посмеялся с тебя и все",False
1488,"По блату поступили, по блату закончили, по блату устроились и управляют",False
1489,Наши русские разве не ясно,False
1490,"Эти люди ничего не могут, верхушек нахватали, а сами карты видели на картинке",False
1491,Ничего у вас не будет!!!,False
1492,"Вот поэтому я и слушаю рок, в нам меньше нехороших людей",False
1493,"можешь не говорить какое, это неправда",False
1494,Может на войну поедешь в сирию у России хотя бы выбор есть украинцев туда гонят,False
1495,Что с них взять?,False
1496,"Может ты ему еще зад вытирать начнешь? Пусть тонет в своем дерьме, это по-своему поучительное зрелище.",True
1497,наконец стали понимать что пора убирать это ооо рф частную организацию,False
1498,"Наши пугаются взаимодействия с ними, командировочные полицейские такие же как он.",False
1499,"Дело не в религии ,кто вы если не евреи и не кавказцы?",False
1500,автор подписью фото испортил,False
1501,"Украинцы слишком измучены войной и тарифами, даже скакать не будут.",False
1502,"Ну ты же понимаешь,что у украинцев и денег то нет?",False
1503,Если вас раздражают тиканье часов - это синдром неврастении.,False
1504,а ты где сидишь,False
1505,"ему бы там пожить. продумано до мелочей,как угробить людей за 10 жизни",False
1506,Правильно! Бог всё видит! Так тебе и надо!!!,False
1507,пьяных водителей жестко наказывать,False
1508,"АХАХАХ . Благодарю, а то бы я и не узнал, кто же там этот человек, покрывающий мелкие ларьки",False
1509,Коммунистам заливают пакость в шатны даже когда у власти в стране Коммунистическая Партия.,True
1510,"Людям горе, а другие смеются. Я в шоке над людьми",False
1511,Зачем людям мозги пудришь??! Займись чем нибудь другим! Займись каким либо полезным делом!,True
1512,А ты что илюха? Тебе не всё ли равно какой день?,False
1513,Фолач-победил Сталкера!,False
1514,что уж не в первом? кто-то верит в это?,False
1515,Байкеры уже не те,False
1516,"хочете чтоб россия напала и завоевала, чтоб вас  потом кормить",False
1517,Старый баян надоел.,False
1518,А какой уровень у тех кто тренды про украинцев создает?,False
1519,"Артист,специально так делает",False
1520,правельно а кто этих дураков будет содержать и кормить они же ни на что неспособные.,True
1521,Такие бьют из-за угла. Сколько их стало сейчас?,False
1522,"Да так оно и есть, украинцы заполнили все города чтобы заделать майдан",True
1523,Нужно отобрать оружие и лодку и штраф тысяч 500,False
1524,Пообщаюсь с девушкой в личке на пошлые темы,False
1525,Видимо плохо его учили.,False
1526,"кто это в женах у этого мужика, который так считает?",False
1527,нет славы донбасу и не будет,False
1528,надеюсь. когда тебя будут бить. ты в полицию не побежишь-ведь они для тебя плохие.,True
1529,"Ну да. Очередной лицемер, которому что-то не нравится.",True
1530,"Когда всем врал про пушистую кость, но стрижка расставила все на свои места.",False
1531,"а в тебе чего женского то осталось накачанные грудь, губы и попа, всем чем ты тока можешь работать",True
1532,"Он еду клянчит
Отъедается",False
1533,ну так и отдыхающие ведут себя неправильно,False
1534,Он как голодный еду клянчит. Отъедается,False
1535,Что за человек? Его мнение важно?,False
1536,"Это ж моя кошка! И пузико, и белое пятнышко на шее!",False
1537,"А что штраф то? Сначаланатворят дел, а потом народу штрафы придумывают за их правду",False
1538,Наши русские разве не ясно,False
1539,Видимо плохо его учили,False
1540,Зачем издеваться над бульдогом?,False
1541,"нисколько, потому что он дурак",True
1542,"Должен получить срок 12 лет, он убил человека",False
1543,"Чиновников, которые дают разрешение на вырубку - наказывать невзирая на ранг",False
1544,и вот таких множество,False
1545,Как эту рыжую девушку земля до сих пор носит,False
1546,Таких людей даже и не знаешь как наказывать,False
1547,"пустота все это, нас большинство и мы за поправки и путина",False
1548,Всех нехороших личностей надо на калыму за страдание людей,False
1549,Ты мужчина обалдел что пишешь,False
1550,Не знаю с кем идти,False
1551,"сутками в сетях сидят и всякую бессмыслицу нам говорят. я,оказывается,тоже могу. зацени!",False
1552,Он наплевал на народ и на государство. Придёт время и его посадят.,False
1553,не понял ну попер ставка на ник или рандом орет._.,False
1554,"его не зря построили, собираются все предатели",False
1555,"Ролики - так себе, игра актеров не впечатлила, стримы - на высоте",False
1556,угомони своих друзей или бунт поднимем,False
1557,"Главное засунуть по самое плечо и вырвать то, что попадёт в руку!",False
1558,Автор подписью фото испортил,False
1559,Старый баян как он надоел уже,True
1560,"По телевизору показывают людей с другими ценностями, демонстрируют европейскую культуру, скоро приравняют к Европе",False
1561,ну совсем прям дураки надоели глупыми вопросами,True
1562,"Мне кажется, что это неправда и в СССР не было свободы",False
1563,Фу! Какие мерзкие три лица,True
1564,Что за девушка в котелке?,False
1565,Ремня по одному месту.,False
1566,У ребенка плохое поведение,False
1567,"господи , и есть же такие глупые люди на свете, лучше бы себе клизму поставила",True
1568,В. В. надоел уже всем со своей единой россией,False
1569,Как так можно? Самостоятельно лишать себя одного из главных удовольствий в жизни: покушать что-то перед телевизором.,False
1570,Естественно!! Почему он должен снижаться то... Куда маски со своего заводика продавать будет!!! Ни дна вам ни покрышки!!!,False
1571,Судьи не дают нам побеждать,False
1572,Как так можно?,False
1573,Зачем политач должен покидать лучший из его тредов?,False
1574,"Вируса нет, нам врут",False
1575,Люди не ведитесь на этого балабола,True
1576,Я сама дам телефон кто захочет,False
1577,Хватит распространять всякую ерунду. Сколько вам платят? Самим за себя не стыдно?,False
1578,Помолчи я и в твоей тюрьме хлеб с маслом есть буду - не твои умник,False
1579,"Ложь - нас большинство и мы за поправки и за путина, а ты плохой человек",False
1580,"надо было цыганами заменить, их точно в Болгарии больше",True
1581,"будьте человеком, а то Лев даст вам сдачи. Как дал мне.",False
1582,Всем привет из российского Крыма,False
1583,ничего не могут. Люди верхушек нахватали а сами катры видели на картинке.,False
1584,"дураки. никакой свободы в ссср не было. вообще никакой. всё вранье, грубо говоря.",True
1585,"Они поддерживали свой народ, они же националисты, ты забыл? Путина они не поддерживали.",False
1586,Классическое народ не тот . Корону с головы сними.,False
1587,"Зачем бог даёт им облик человеческий, лучше бы сразу сотворил макакой.",True
1588,Живи для семьи родных,False
1589,Ну какой с него депутат? Развели тут цирк.,True
1590,Да я тебя сейчас точно оскорблю,False
1591,А где ты денег столько взяла?,False
1592,Её мужа нужно наказать,False
1593,"козлами там, т9 странный",True
1594,"Этот богаче будет, и лицо поприятнее. А так девушкам всё равно кому продаваться.",True
1595,Только тебя именно там не хватало,False
1596,Понятно!!! с какого он должен снижаться то...куда он маски со своего заводика продавать будет!!! ни дна вам и покрышки!!!,True
1597,зачем издеваться над бульдогом?! хозяина надо наказать!,False
1598,Номер стримерши и её любовника Андрея.,False
1599,"достал , побирается сколько лет",False
1600,Я бы хотел общаться на вы,False
1601,Жириновский очень точно сформулировал лозунг отечественного ресентимента,False
1602,Сериал просто капец… других слов нет. Глянь ! Лично мне просто въелся в душу.,False
1603,Да такие вещи сейчас статья до 5 лет,False
1604,"Николай был не очень хороший человек, но семью жаль",False
1605,"его не зря построили, собирается все, предатели.",False
1606,"Догадаетесь, чьи мысли они вещают. Правильно. Пыни батюшки",False
1607,"Даже животное не бросает свое дитя. А она, прости Господи...",False
1608,Это гомосексуалисты в масках,True
1609,Кто такой? Его мнение важно?,False
1610,"Испортили песню, нехорошие",False
1611,Ты угономи своих друзей или бунт поднимем,False
1612,мухомор рыжий сколько этих людей терпеть будем,True
1613,Бомбят мюслей в труху на протяжении 20 лет. Мюсли бомбят их ответ. Люди: ЗА ЩО ?,False
1614,Такие не должны жить. Это не люди!,True
1615,Так хохлы и есть грузины татары молдоване венгры азербайджане армяне и прочие,True
1616,"апять обман, вы че народ за глупых держите.",False
1617,позорит честь настоящих мужчин,False
1618,"В РФ медстраховка есть у всех, не важно работаешь ты или нет",False
1619,Вы у себя разберитесь сначало,False
1620,"Да убирайте эту женщину с сайта, надоела, когда она только покинет салон этого автомобиля",False
1621,"Нелюдь, на кол его",True
1622,"Можешь не говорить какое,это враньё таких как ты лол",False
1623,Ей место в психбольнице,True
1624,"ждём маршей протеста против задержания а.гришина в его родном саранске.либералы,чё-то не слышно ваших призывов к бунту",False
1625,та-же фигня. появится двойник 😂,False
1626,Это не отец,False
1627,Ты почему не в палате,False
1628,Не обманывайте. Уже у многих .увы,False
1629,"Вранье! кто это придумал , глупая морда хотя бы подумал, что пишет.",True
1630,"Девчонки, вам самим не стыдно ходить полуголыми? Тогда не жалуетесь, что к вам пристают, так вам и надо.",False
1631,"Мне без разницы, как и что ты называешь",False
1632,Этот Китай уже напрягает.,False
1633,хочется поинтересоваться психическим состоянии этого человека?,False
1634,Номер стримерши и ее молодого человека Андрея,False
1635,"Подготовленный, находка для сидевших",False
1636,скупость чистой воды! ... и конечно еврей очень умный!!!,False
1637,На каких людей это рассчитано?,False
1638,"До сих пор так, для них всё, для народа ничего",False
1639,Развели ссору из ничего.,False
1640,"Этому, только и остаётся одно, яйца оторвать. Они не имеют права жить среди нас!",True
1641,Люди сверху вообще обнаглели в край,False
1642,вот к чему мы их приучили.,False
1643,"Не пишите чушь, надоели",True
1644,Не голосуйте за них! Всю страну распродали…,True
1645,"Согласен, они плохие люди, но тогда кто наши министры здравоохранения, врачи, власть, которая идёт на поводу них?",False
1646,да это просто нацыз вот в россии такие как он наказывать надо,False
1647,"Чего это ты там такого делаешь, что кошки во взгляде такие флешбеки?",False
1648,работа была зарплата была производства работали такой парад провёл красава !!!! и опять не угодил !!!!,False
1649,"В 90е в чечне это было обычное дело, как в 2014 в украине среди генералов",False
1650,зачем было убивать и так осталось мало зверя всё вырубили им жить негде,False
1651,"Не нужно верить, что можно выиграть в казино не будучи его владельцем, однако, кое-кто выигрывает",False
1652,"Уходи ещё раз говорю,не будь глупым, причём тут Сталин",True
1653,"Иди , пока не поздно к психиатру",True
1654,Зачем ты такое пишешь,False
1655,Их пускают в Турцию?,False
1656,Придержи язык за зубами,False
1657,"Ты не понял, это договор и никаких неожиданностей.",False
1658,"Девчонки вам самим не стыдно ходить полуголыми, тогда не жалуйтесь что вас обижают.",False
1659,правильно!бог всё видит! так тебе и надо!!!,True
1660,"Опять употреблял алкоголь на работе? Тебя уволят. А я предупреждал, что не стоит пить",False
1661,Ты нехороший человек.,False
1662,"Гитлер сверху передает тебе одобрительный привет.Пардон, снизу, из глубокого ада.",True
1663,Как её земля до сих пор носит,True
1664,Почему полицейские не задержали представителя ЛГБТ-сообщества? В России запрещена реклама гомосексуализма! Почему не задержали?,False
1665,На кого это рассчитано?,False
1666,да не хочу тебя видеть:d человек.... ты вообще кто???,False
1667,"Они все за бугром будут. Они самые первый будут трампу будут жопу лизать, ради прибежище за океаном.",True
1668,как кто конь в пальто. а сколько ты думаешь,False
1669,Кто это придумал? Хотя бы подумал что пишет,False
1670,"вот потому тебя и не берут на рыбалку,",False
1671,У нее болячка на губах,False
1672,"Зачем такие вбросы делать? поживите на донбассе, а то путин им, видишь ли, не такой",False
1673,"да, и убить больше половины этого народа",True
1674,Фолач - дропнул Сталкера - дропнул,False
1675,Глупцы! что с них взять?,False
1676,"они там в москве все ненормальные,осталось только на грудь кейчуп намазать ,а туда сосиску засунуть...",True
1677,"Вот вот почему полицейские не задержали человека с нетрадиционной ориентацией, в России запрещена реклама нетрадиционных отношений! Почему не задержали?",False
1678,"что, нужно жить еще хуже? Иди уже",False
1679,"Ты надоел, никому не интересно, что ты делаешь",True
1680,когда ж вы нажретесь,True
1681,А за что бороться?,False
1682,И вот таких людей много,False
1683,"Зачем такие вбросы делать? поживите на донбассе,. путин, им, не такой",False
1684,"Пусть уходит, держать не стоит.автор полюби себя, ты детям нужна. главное духом не падать!",False
1685,Мне не понравилось. Что больше показать нечего ?,False
1686,я из за всякого точно переживать не буду,False
1687,"Артист, специально так делает.",False
1688,при взгляде на эту женщину потекли слюни,False
1689,Кто это постит?,False
1690,"Ты че, 2080 не могла подарить? Я бы обиделся.",False
1691,"Да врёт он, форма флора, а кепки с какого ларька?",False
1692,таких  надо вешать а не отпускать,True
1693,Кто это?,False
1694,"Это люди, которых обижали в детстве и теперь они отрываются",False
1695,"У него на уме только взорвать, убить, забрать, отключить, уничтожить",False
1696,"Хватит разгонять мирных протестующих, где толерантность и демократия",False
1697,"Правильно а кто этих людей будет содержать и кормить, они же к этому неспособные",True
1698,их бы скинуть,False
1699,"Редиска, не мути голову займись делом",True
1700,"Ничего себе, сколько людей его смотрели и подозреваю, что присоединятся",False
1701,"омоновцы, вы что творите,против кого идете, уже мешки стали на голову одевать. выслуживаетесь перед кем.",True
1702,лихтейнштейн палестинский козак и записался в геи?,True
1703,"От чего ты милаустна моя, отчего тебе больно милая, что ты снова такая унылая, чем ты любимая вечно недовольна",False
1704,"Они поддерживали свой народ, они же националисты, ты забыл? Путина они не поддерживали",False
1705,Что хватило? Что добавить?,False
1706,"Россия требует героев, но рождаются только глупые люди",True
1707,Вы у себя сначало разберитесь,False
1708,"Я его в Химках видал, фалоимитаторами деревянными торгует",True
1709,"Давно не был в Москве, но тут по-прежнему сыро, пасмурно, пробки, много озлобленных людей.  И много неработающих",False
1710,"Анекдот на русский лад, евреи ради своих детей и семей лбы расшибут",False
1711,"ой,ладно,хватит защищать отморозка,вот посмотрите,ему дадут если не вышку,то около того,и правильно,распоясался,людей убивает в пьяном угаре",False
1712,"Что-то ты чутка заелась, нет? Или это ты шутишь так?",False
1713,"Андрей, я удалю тебя из друзей, если не перестанешь",False
1714,Не хочу общаться с такими людьми,False
1715,называется - веди себя как шут перед камерой на потеху толпе,False
1716,"воспитание хромает, а кто снимает тот дебил!!! жаль, что скворечник лёгкий 😂😂!!",True
1717,Ерунду говорит. Этосамое как он накормил лягушками,False
1718,"Вы не здоровые, какой еще майдан в хабаровске? какой сепаратизм? что вы такое несете?",False
1719,"это просто фотка. не думаю, что бы он что-то сделал. котяра шикарный мурлыка ) полосатый балобол",False
1720,"Концентрация этих людей в стране, делает развитие этой ситуации маловероятным",False
1721,вот умник на месте растреливать таких умников и как закон подлости ни одного полицейского,True
1722,Этот побогаче просто будет. Ну и лицо у него приятнее. А так девушке всё равно с кем быть.,False
1723,а за что бороться?,False
1724,Сидишь в своей Молдавии и сиди. Тебя не спросили,True
